Date,Open,High,Low,Close,Adj Close,Volume
2023-05-17,1.654057,1.866227,1.637433,1.800125,1.800125,208009672
2023-05-18,1.799766,1.835621,1.721612,1.739781,1.739781,161918289
2023-05-19,1.739506,1.739506,1.655392,1.667627,1.667627,97679560
2023-05-20,1.667597,1.702659,1.630682,1.691960,1.691960,63278786
2023-05-21,1.691991,1.699353,1.627345,1.635795,1.635795,49902300
2023-05-22,1.636028,1.650535,1.574142,1.632779,1.632779,60316168
2023-05-23,1.632779,1.715500,1.617198,1.668845,1.668845,83991285
2023-05-24,1.668895,1.668952,1.560483,1.595884,1.595884,82235508
2023-05-25,1.595794,1.638152,1.563017,1.619342,1.619342,62677729
2023-05-26,1.619289,1.646580,1.601862,1.609957,1.609957,56579998
2023-05-27,1.609820,1.620456,1.585174,1.600519,1.600519,33057900
2023-05-28,1.600495,1.654850,1.591714,1.645608,1.645608,50416047
2023-05-29,1.645465,1.666384,1.515187,1.526133,1.526133,90781607
2023-05-30,1.525850,1.545093,1.411374,1.415724,1.415724,129639732
2023-05-31,1.416301,1.521218,1.351223,1.384902,1.384902,278073428
2023-06-01,1.384913,1.429621,1.368271,1.387341,1.387341,173958909
2023-06-02,1.387338,1.470144,1.371573,1.449385,1.449385,125384808
2023-06-03,1.449428,1.497514,1.435902,1.483481,1.483481,90436731
2023-06-04,1.483498,1.522031,1.466155,1.480396,1.480396,85893344
2023-06-05,1.480333,1.483679,1.314982,1.390276,1.390276,204062227
2023-06-06,1.389886,1.540641,1.365023,1.495830,1.495830,265598465
2023-06-07,1.495896,1.503418,1.364479,1.372161,1.372161,157256763
2023-06-08,1.372103,1.433343,1.351922,1.368722,1.368722,101111608
2023-06-09,1.368657,1.398132,1.320283,1.331657,1.331657,97966569
2023-06-10,1.331604,1.332383,1.055689,1.093262,1.093262,271721245
2023-06-11,1.093239,1.125556,1.065539,1.093576,1.093576,87965186
2023-06-12,1.093529,1.143427,1.065956,1.132182,1.132182,110080861
2023-06-13,1.132225,1.180479,1.116634,1.150891,1.150891,100565775
2023-06-14,1.150881,1.162943,1.072591,1.083253,1.083253,87584211
2023-06-15,1.083368,1.119893,1.059237,1.108290,1.108290,66359064
2023-06-16,1.108359,1.148548,1.085098,1.128308,1.128308,77523640
2023-06-17,1.128377,1.172830,1.114208,1.133673,1.133673,78583537
2023-06-18,1.133642,1.141067,1.096162,1.098611,1.098611,70929110
2023-06-19,1.098615,1.133269,1.089728,1.130025,1.130025,86349903
2023-06-20,1.130204,1.340373,1.130204,1.328002,1.328002,256169936
2023-06-21,1.328166,1.487781,1.322380,1.435401,1.435401,331894635
2023-06-22,1.435355,1.483032,1.345823,1.355315,1.355315,209376219
2023-06-23,1.355444,1.452072,1.355444,1.386002,1.386002,156183154
2023-06-24,1.386210,1.387032,1.282622,1.307139,1.307139,140096087
2023-06-25,1.307238,1.372021,1.299086,1.334095,1.334095,123077027
2023-06-26,1.334038,1.373102,1.270163,1.281469,1.281469,120943797
2023-06-27,1.281465,1.353720,1.277042,1.308834,1.308834,112600924
2023-06-28,1.308907,1.309182,1.185650,1.218048,1.218048,123492860
2023-06-29,1.217888,1.251491,1.206377,1.221005,1.221005,84722804
2023-06-30,1.220937,1.371950,1.204332,1.331462,1.331462,252017343
2023-07-01,1.331760,1.376664,1.309623,1.347589,1.347589,87276092
2023-07-02,1.347597,1.347627,1.305363,1.333606,1.333606,84846976
2023-07-03,1.333681,1.368844,1.325739,1.350350,1.350350,103510980
2023-07-04,1.350155,1.361617,1.280343,1.283249,1.283249,83234630
2023-07-05,1.283286,1.301148,1.215214,1.233878,1.233878,91531969
2023-07-06,1.233840,1.276981,1.188553,1.188553,1.188553,83571664
2023-07-07,1.188762,1.223792,1.179381,1.223792,1.223792,58209529
2023-07-08,1.223607,1.233635,1.193257,1.216452,1.216452,41939724
2023-07-09,1.216487,1.227971,1.202650,1.213840,1.213840,39834759
2023-07-10,1.213856,1.223962,1.164461,1.200122,1.200122,82461008
2023-07-11,1.200159,1.239959,1.194099,1.222937,1.222937,55003184
2023-07-12,1.222901,1.266322,1.196488,1.215916,1.215916,74069487
2023-07-13,1.215928,1.417947,1.209020,1.370624,1.370624,187808209
2023-07-14,1.370580,1.596009,1.366582,1.453209,1.453209,384722517
2023-07-15,1.454518,1.542536,1.439807,1.455969,1.455969,174410333
2023-07-16,1.456203,1.506509,1.421918,1.488138,1.488138,135012610
2023-07-17,1.488036,1.542599,1.421850,1.481427,1.481427,191138216
2023-07-18,1.481834,1.548532,1.422463,1.428776,1.428776,173653104
2023-07-19,1.429014,1.611622,1.421204,1.565470,1.565470,197730584
2023-07-20,1.565470,1.592067,1.464343,1.531888,1.531888,156121308
2023-07-21,1.532225,1.554214,1.504518,1.507921,1.507921,103636205
2023-07-22,1.508158,1.586028,1.508158,1.564388,1.564388,87317566
2023-07-23,1.564419,1.637762,1.541887,1.581701,1.581701,140830798
2023-07-24,1.581273,1.584987,1.495489,1.508684,1.508684,159483790
2023-07-25,1.508506,1.520479,1.445898,1.450309,1.450309,96349078
2023-07-26,1.450267,1.539542,1.429951,1.511686,1.511686,108196821
2023-07-27,1.511953,1.564785,1.493258,1.496339,1.496339,100156162
2023-07-28,1.496370,1.499694,1.464703,1.478629,1.478629,82898789
2023-07-29,1.478521,1.515341,1.475782,1.508556,1.508556,47997141
2023-07-30,1.508502,1.619037,1.501079,1.618928,1.618928,186268252
2023-07-31,1.618970,1.725112,1.610467,1.615218,1.615218,265182674
2023-08-01,1.615333,1.646661,1.557174,1.646655,1.646655,153697437
2023-08-02,1.646582,1.672104,1.610111,1.639188,1.639188,179623029
2023-08-03,1.638988,1.743622,1.637431,1.714988,1.714988,237704094
2023-08-04,1.715108,1.745884,1.678088,1.685478,1.685478,157713048
2023-08-05,1.685494,1.714691,1.654513,1.688923,1.688923,106693142
2023-08-06,1.688890,1.722185,1.675683,1.701692,1.701692,91968639
2023-08-07,1.701611,1.800436,1.687247,1.796785,1.796785,173855859
2023-08-08,1.796653,1.810884,1.668823,1.681805,1.681805,200912981
2023-08-09,1.681480,1.701338,1.526769,1.552691,1.552691,177062822
2023-08-10,1.552824,1.593893,1.549559,1.577183,1.577183,121236060
2023-08-11,1.577330,1.599958,1.575230,1.585684,1.585684,91845747
2023-08-12,1.585713,1.594664,1.541864,1.550797,1.550797,77623394
2023-08-13,1.550671,1.563061,1.530037,1.539305,1.539305,77459105
2023-08-14,1.539285,1.572502,1.508560,1.530301,1.530301,98745301
2023-08-15,1.530207,1.532390,1.453131,1.471620,1.471620,114324345
2023-08-16,1.471552,1.486709,1.381319,1.407781,1.407781,132094376
2023-08-17,1.407964,1.458758,1.285720,1.367212,1.367212,200982774
2023-08-18,1.367342,1.452779,1.349214,1.439717,1.439717,181258225
2023-08-19,1.439798,1.510507,1.431337,1.471464,1.471464,96586041
2023-08-20,1.471582,1.484731,1.454267,1.472720,1.472720,63087234
2023-08-21,1.472530,1.546482,1.466640,1.532256,1.532256,141738314
2023-08-22,1.531617,1.585928,1.510239,1.577419,1.577419,159065049
2023-08-23,1.577387,1.613203,1.530645,1.558190,1.558190,127960636
2023-08-24,1.558535,1.585382,1.529124,1.585182,1.585182,105022688
2023-08-25,1.584873,1.586427,1.463534,1.468786,1.468786,152907327
2023-08-26,1.468751,1.496601,1.450997,1.480879,1.480879,74453824
2023-08-27,1.480885,1.492266,1.436627,1.451824,1.451824,79341442
2023-08-28,1.451843,1.454366,1.405112,1.420950,1.420950,92523120
2023-08-29,1.420944,1.519532,1.412376,1.492867,1.492867,140102593
2023-08-30,1.493084,1.501583,1.462771,1.482226,1.482226,94139443
2023-08-31,1.482269,1.493611,1.375742,1.391427,1.391427,112709891
2023-09-01,1.391534,1.401074,1.302871,1.316713,1.316713,102838857
2023-09-02,1.316890,1.336410,1.289318,1.317606,1.317606,74808520
2023-09-03,1.317647,1.343506,1.313641,1.337788,1.337788,68910518
2023-09-04,1.337656,1.364992,1.321304,1.339096,1.339096,64447840
2023-09-05,1.339094,1.345281,1.311035,1.344137,1.344137,55062594
2023-09-06,1.344167,1.355090,1.304606,1.330165,1.330165,63388260
2023-09-07,1.330132,1.344865,1.306769,1.338332,1.338332,50590495
2023-09-08,1.338607,1.345461,1.298303,1.298848,1.298848,50467805
2023-09-09,1.298923,1.299386,1.285863,1.293423,1.293423,36506010
2023-09-10,1.293390,1.293390,1.240125,1.268974,1.268974,69023285
2023-09-11,1.268945,1.278802,1.231006,1.278802,1.278802,97066820
2023-09-12,1.279406,1.364487,1.279406,1.336989,1.336989,123580443
2023-09-13,1.337067,1.375156,1.331422,1.353348,1.353348,82688131
2023-09-14,1.352564,1.378619,1.337959,1.357509,1.357509,68026584
2023-09-15,1.357629,1.418176,1.350427,1.406106,1.406106,93149199
2023-09-16,1.405922,1.435178,1.383988,1.393706,1.393706,58932748
2023-09-17,1.393680,1.393680,1.356231,1.373836,1.373836,51077041
2023-09-18,1.373388,1.421854,1.360150,1.369485,1.369485,82496180
